Contestant ID,Contestant Name,Gender,Notes,Offscreen Earnings,Offscreen Games Won
267,Joanie Cohen,F,,,
268,Sheryl Lessing,F,,,
269,Elaine Swales,F,,,
270,C. B. Farnsworth,M,,,
271,Karen Anderson,F,,,
272,Carol Bower,F,,,
273,Sue Hagie,F,,,
274,Ronald Smith,M,,,
275,Leigh Moore,F,,,
276,Carol Deltorio,F,,,
277,Karen O'Day,F,,,
278,Mary Jane Nepastalos,F,,,
279,Carl Wright,M,,,
280,Shawn Graff,F,,,
281,Diane Jones,F,,,
282,Susan Underwood,F,,,
283,Wayne Roundtree,M,,,
284,Carol Hughes,F,,,
285,Linda Kaye,F,,,
286,Gloria Greene,F,,,
287,Sandy Royal,F,,,
288,Ginny Barry,F,,,
289,June Timms,F,,,
290,John Cashmaric,M,,,
291,Karen Lesko,F,,,
292,Teresa Nigrette,F,,,
293,Rolanda Lalie,F,,,
294,Lee Conan,M,,,
295,Nancy Polanchi,F,,,
296,Annette Hall,F,,,
297,Carol Fitzpatrick,F,,,
298,Ken Scopp,M,,,
299,Susie Hoppenthal,F,,,
300,Judy Petty,F,,,
301,Fred Jones,M,,,
302,Beth Horning,F,,,
303,June Rose,F,,,
304,Timothy O'Keefe,M,,,
305,Sandy Corey,F,,,
306,Diane Jackson,F,,,
307,Chris Berk,F,,,
308,Kendra Plummer,F,,,
309,Jack Holder,M,,,
310,Rose Carter,F,,,
311,Ellen Loretta,F,,,
312,Kathy Neholovich,F,,,
313,Peter Stare,M,,,
314,Carlotta Nelson,F,,,
315,Sharon Strand,F,,,
316,Craig Cook,M,,,
317,Judy Pegano,F,,,
318,Susan Warren,F,,,
319,Barbara Jenkins,F,,,
320,Paul Rodkin,M,,,
321,Lui Ping Canol,F,,,
322,Evelyn Gibson,F,,,
323,Carol Ware,F,,,
324,Dee Railey,F,,,
325,Donna Sue Solomon,F,,,
326,Roy Ellison,M,,,
327,Emily Richer,F,,,
328,Dorothy Dorn,F,,,
329,Lou Ann Rico,F,,,
330,Tim Stare,M,,,
331,Marcia Salsito,F,,,
332,Brad Alexander,M,,,
333,Marion Campbell,F,,,
334,Dee Davenport,F,,,
335,Kathy Lober,F,,,
336,Jan Shaw,F,,,
337,Juana Martinez,F,,,
338,Terry Montgomery,M,,,
339,Lorraine Brown,F,,,
340,Chuck Dorin,M,,,
341,Janet Finn,F,,,
342,Dorianna Jones,F,,,
343,Chris Keaton,F,,,
344,Richard Fox,M,,,
345,Ninfa Jarvis,F,,,
346,Pat Davenport,F,,,
347,King Colvin,M,,,
348,Sylvana Caballero,F,,,
349,Roy Fortune,M,,,
350,Barbara Shodeman,F,,,
351,Darcy Bell,F,,,
352,Janet Frundel,F,,,
353,Roslyn Hills,F,,,
354,Rosemary Reed,F,,,
355,Bob Herman,M,,,
356,Maureen Ballas,F,,,
357,Donna Flynn,F,,,
358,Chuck White,M,,,
359,Kathy Graff,F,,,
360,Vicky Carvin,F,,,
361,Scott Carrier,M,,,
362,Margo Chase,F,,,
363,Dick Harper,M,,,
364,Dawn Hagel,F,,,
365,Ellen Stern,F,,,
366,Susie Bush,F,,,
367,Carol Meloy,F,,,
368,Rebecca Sightland,F,,,
369,Nancy Hollingsworth,F,,,
370,Phil Parell,M,,,
371,Cindy Friedman,F,,,
372,Carol Rakestraw,F,,,
373,Arlene Primisario,F,,,
374,Marva Farmer,F,,,
375,Darlene Pancheck,F,,,
376,Joanne Vedder,F,,,
377,Phil Hilton,M,,,
378,Kerry Newlin,F,,,
379,Marie Lindsay,F,,,
380,Ron Bamus,M,,,
381,Charlie Stare,F,,,
382,Jocelyn Rogers,F,,,
383,Jim Patterson,M,"played during missing episodes 311, 312, 313",5950,
384,Linda Epstein,F,"played during missing episodes 311, 312, 313",,
385,Sally Jussel,F,,,
386,Ginger Renshaw,F,,,
387,Terry McCarty,M,,,
388,Sherry Hartman,F,,,
389,Toni Singman,F,,,
390,Janice Larry,F,,,
391,Jack Steck,M,,,
392,Sarah Lopez,F,played during missing episodes 324 and 325,,
393,Becky Garub,F,,,
394,Joan Jeffers,F,,,
395,Warren Delange,M,,,
396,Patty Carr,F,,,
397,Joanne Wynn,F,played during missing episodes 324 and 325,,
398,Rosemary Polgar,F,played during missing episodes 324 and 325,600,
399,John Riesling,M,played during missing episodes 324 and 325,,
400,Barbara Barnholtz,F,,,
401,Edith Noble,F,,,
402,Marguerite Gasteur,F,,,
403,Janet Brewley,F,,,
404,Alicia Howard,F,,,
405,Jason Wesson Jr.,M,,,
406,Cindy Mullins,F,,,
407,Lola Culver,F,,,
408,Krash Kilgore,M,,,
409,Mary Baca,F,,,
410,Gerri Chiovetta,F,,,
411,Major Goulsby,M,,,
412,Darla Hager,F,,,
413,Sheila Winman,F,,,
414,Susan Gaye,F,,,
415,Carol Rocha,F,,,
416,Dave Burt,M,,,
417,Adrienne Hahn,F,,,
418,Pam Pepper,F,,,
419,Pat Pollard,M,,,
420,Judy Tison,F,,,
421,Maureen Thompson,F,,,
422,Lisa Puglisi,F,,,
423,Pete Conjois,M,,,
424,Juanita Davis,F,,,
